Area_Name,Year,,Sub_Group_Name,PT_1_3_Years,PT_3_5_Years,PT_5_10_Years,PT_6_12_Months,PT_Less_than_6_Months,,PT_Total
Kerala,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),31681,16928,3988,23948,12856,340,58060
Lakshadweep,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,NULL,NULL,NULL,NULL,NULL,0
Madhya Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),34814,23939,10942,36683,21147,4377,97088
Maharashtra,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),26122,28105,17955,7051,2669,7099,62879
Manipur,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2,7,1,6,29,9,52
Meghalaya,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),121,179,117,39,30,6,371
Mizoram,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),420,1019,90,471,277,3,1860
Nagaland,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),188,94,13,208,187,4,506
Odisha,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11649,9150,4299,5558,1600,1246,21853
Puducherry,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1405,531,232,1773,1135,15,3686
Punjab,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8639,4920,1657,3476,1669,312,12034
